03198606000001AC-INC                                            ASAMBLEA CANARIA-IZQUIERDA NACIONALISTA CANARIA                                                                                                       000001000001000001
03198606000002ACP                                               ACCION CASTELLANA POPULAR                                                                                                                             000002000002000002
03198606000003ADEI                                              AGRUPACION DE ELECTORES INDEPENDIENTES                                                                                                                000003000003000003
03198606000004AE-AIC                                            AGRUPACION ELECTORAL"AGRUP INDEPENDIENTE DE CEUTA"                                                                                                    000004000004000004
03198606000005AEEIM                                             AGRUPACIO D'ELECTORS ENTESA DE L'ESQUERRA MENORCA                                                                                                     000005000005000005
03198606000006AEL                                               AGRUPACION DE ELECTORES DE LANZAROTE                                                                                                                  000006000006000006
03198606000007AIC                                               COALICION AGRUPACIONES INDEPENDIENTES DE CANARIAS                                                                                                     000007000007000007
03198606000008AM                                                ASOCIACION POLITICA ASAMBLEA MAJORERA                                                                                                                 000008000008000008
03198606000009AP-PDP-PL                                         COALICION POPULAR                                                                                                                                     000009000009000009
03198606000010AP-PDP-PL-C                                       COALICION POPULAR                                                                                                                                     000010000010000009
03198606000011AP-PL-UPN                                         COALICION POPULAR                                                                                                                                     000011000011000009
03198606000012AV                                                LISTA ALTERNATIVA VERDE                                                                                                                               000012000012000012
03198606000013BNG                                               BLOQUE NACIONALISTA GALEGO                                                                                                                            000013000013000013
03198606000014CA                                                COALICION CANDIDATURA POR LA AUTONOMIA                                                                                                                000014000014000014
03198606000015CDS                                               CENTRO DEMOCRATICO Y SOCIAL                                                                                                                           000015000015000015
03198606000016CG                                                COALICION GALEGA                                                                                                                                      000016000016000016
03198606000017CIU                                               CONVERGENCIA I UNIO                                                                                                                                   000017000017000017
03198606000018CL                                                COALICION CONVERGENCIA LEONESISTA                                                                                                                     000018000018000018
03198606000019CN                                                CULTURA NATURAL                                                                                                                                       000019000019000019
03198606000020CUN                                               COALICION DE UNIDAD NACIONAL                                                                                                                          000020000020000020
03198606000021EAJ-PNV                                           PARTIDO NACIONALISTA VASCO                                                                                                                            000021000021000021
03198606000022EE                                                EUSKADIKO EZKERRA                                                                                                                                     000022000022000022
03198606000024ENV-URV                                           ESQUERRA NACIONALISTA VALENCIANA                                                                                                                      000024000024000024
03198606000025ERC                                               ESQUERRA REPUBLICANA DE CATALUNYA                                                                                                                     000025000025000025
03198606000026EU                                                EXTREMADURA UNIDA                                                                                                                                     000026000026000026
03198606000027FE-JONS                                           FALANGE ESPAÑOLA DE LAS JONS                                                                                                                          000027000027000027
03198606000028HB                                                HERRI BATASUNA                                                                                                                                        000028000028000028
03198606000029ICU                                               COALICION IZQUIERDA CANARIA UNIDA                                                                                                                     000029000029000030
03198606000030IU                                                COALICION IZQUIERDA UNIDA                                                                                                                             000030000030000030
03198606000033LV                                                LOS VERDES                                                                                                                                            000033000033000033
03198606000034MEC                                               MOVIMIENTO ECOLOGISTA DE ESPAÑA EN CANTABRIA                                                                                                          000034000034000034
03198606000035MUC                                               MESA PARA LA UNIDAD DE LOS COMUNISTAS                                                                                                                 000035000035000035
03198606000036PA                                                PARTIDO ANDALUCISTA                                                                                                                                   000036000036000036
03198606000037PAEC                                              PARTIDO ESPAÑOL CRISTIANO                                                                                                                             000037000037000037
03198606000038PANCAL                                            PARTIDO NACIONALISTA DE CASTILLA Y LEON                                                                                                               000038000038000038
03198606000039PAR                                               PARTIDO ARAGONES REGIONALISTA                                                                                                                         000039000039000039
03198606000040PCC                                               PARTIT DELS COMUNISTES DE CATALUNYA                                                                                                                   000040000040000040
03198606000041PCE-EPK                                           PARTIDO COMUNISTA EUSKADI-EUSKADIKO PARTIDU KOMUNI                                                                                                    000041000041000035
03198606000042PEC-VERDE                                         PARTIDO ECOLOGISTA DE CATALUÑA-VERDE                                                                                                                  000042000042000069
03198606000044PENS                                              PARTIDO PENSIONISTA                                                                                                                                   000044000044000044
03198606000045PG-EU                                             PLATAFORMA GALEGUISTA E DE ESQUERDA UNIDA                                                                                                             000045000045000030
03198606000046PMCN                                              PARTIDO MODERADO-CENTRISTAS DE NAVARRA                                                                                                                000046000046000046
03198606000047PORE                                              PARTIDO DE LOS OBREROS REVOLUCIONARIOS DE ESPAÑA                                                                                                      000047000047000047
03198606000048POSI                                              PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA                                                                                                           000048000048000048
03198606000049PPC                                               PARTIDO PROVERISTA                                                                                                                                    000049000049000053
03198606000050PRD                                               PARTIDO REFORMISTA DEMOCRATICO                                                                                                                        000050000050000050
03198606000051PREPAL                                            PARTIDO REGIONALISTA DEL PAIS LEONES                                                                                                                  000051000051000051
03198606000052PRM                                               PARTIDO REGIONALISTA MURCIANO                                                                                                                         000052000052000052
03198606000053PROV                                              PARTIDO PROVERISTA                                                                                                                                    000053000053000053
03198606000054PSC-PSOE                                          PARTIT DELS SOCIALISTES DE CATALUNYA                                                                                                                  000054000054000060
03198606000055PSDC                                              PARTIT SOCIALDEMOCRATA DE CATALUNYA                                                                                                                   000055000055000055
03198606000056PSDG-PSOE                                         PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE                                                                                                               000056000056000060
03198606000057PSE-PSOE                                          PARTIDO SOCIALISTA DE EUSKADI                                                                                                                         000057000057000060
03198606000058PSG-EG                                            PARTIDO SOCIALISTA GALEGO-ESQUERDA GALEGA                                                                                                             000058000058000058
03198606000059PSM-EN                                            PSM ESQUERRA NACIONALISTA                                                                                                                             000059000059000059
03198606000060PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000060000060000060
03198606000061PSPA                                              PARTIDO SOCIALISTA DEL PUEBLO ANDALUZ                                                                                                                 000061000061000061
03198606000062PST                                               PARTIDO SOCIALISTA DE LOS TRABAJADORES                                                                                                                000062000062000062
